;t;Eigengeschwindigkeit(m/s);Bbox_Breite;Bbox_Höhe;Bbox_links_unten_y;Abstand(m);v(km/h);width;height;a(km/h^2)
28;2.8;22.1;237;296;55;27.5;86.97442901178079;1.46;1.755;1.1067854315945196
29;2.9;22.0;231;288;58;29.0;87.37036587783909;1.445;1.73;1.09286382428497
30;3.0;22.1;231;288;58;29.0;87.76129096526596;1.445;1.73;1.0789422169754206
31;3.1;22.1;228;285;58;29.0;88.1472042740614;1.43;1.715;1.0650206096658712
32;3.2;22.2;259;287;57;28.5;88.52810580422539;1.58;1.72;1.0510990023563218
33;3.3;22.1;233;291;57;28.5;88.90399555575794;1.45;1.74;1.0371773950467724
34;3.4;22.1;230;287;58;29.0;89.27487352865907;1.44;1.725;1.0232557877372228
35;3.5;22.0;234;292;58;29.0;89.64073972292874;1.46;1.75;1.0093341804276734
36;3.6;22.1;225;281;61;30.5;90.001594138567;1.43;1.71;0.995412573118124
37;3.7;22.1;231;288;60;30.0;90.3574367755738;1.455;1.74;0.9814909658085746
38;3.8;22.1;228;285;62;31.0;90.70826763394916;1.45;1.735;0.9675693584990253
39;3.9;22.2;225;281;60;30.0;91.0540867136931;1.425;1.705;0.9536477511894758
40;4.0;22.1;221;276;63;31.5;91.39489401480559;1.42;1.695;0.9397261438799264
41;4.1;22.1;224;280;64;32.0;91.73068953728665;1.44;1.72;0.925804536570377
42;4.2;22.2;224;279;63;31.5;92.06147328113626;1.435;1.71;0.9118829292608275
43;4.3;22.2;228;284;63;31.5;92.38724524635444;1.455;1.735;0.8979613219512781
44;4.4;22.0;218;272;66;33.0;92.70800543294118;1.42;1.69;0.8840397146417286
45;4.5;22.1;219;273;66;33.0;93.02375384089648;1.425;1.695;0.8701181073321792
46;4.6;22.0;261;271;65;32.5;93.33449047022035;1.63;1.68;0.8561965000226297
47;4.7;22.1;216;270;67;33.5;93.64021532091277;1.415;1.685;0.8422748927130802
48;4.8;22.0;220;274;67;33.5;93.94092839297376;1.435;1.705;0.8283532854035308
49;4.9;22.2;212;265;68;34.0;94.23662968640332;1.4;1.665;0.8144316780939813
50;5.0;22.0;212;264;70;35.0;94.52731920120144;1.41;1.67;0.8005100707844319
51;5.1;22.1;211;263;71;35.5;94.81299693736811;1.41;1.67;0.7865884634748826
52;5.2;22.1;210;262;72;36.0;95.09366289490335;1.41;1.67;0.7726668561653331
53;5.3;22.1;209;261;73;36.5;95.36931707380715;1.41;1.67;0.7587452488557838
54;5.4;22.1;204;254;74;37.0;95.63995947407952;1.39;1.64;0.7448236415462343
55;5.5;22.2;208;260;73;36.5;95.90559009572043;1.405;1.665;0.7309020342366849
56;5.6;22.1;209;261;73;36.5;96.16620893872992;1.41;1.67;0.7169804269271355
57;5.7;22.1;204;255;75;37.5;96.42181600310798;1.395;1.65;0.703058819617586
58;5.8;22.1;205;256;77;38.5;96.67241128885459;1.41;1.665;0.6891372123080366
59;5.9;22.1;203;253;78;39.0;96.91799479596976;1.405;1.655;0.6752156049984871
60;6.0;22.2;203;253;78;39.0;97.1585665244535;1.405;1.655;0.6612939976889377
61;6.1;22.1;198;247;79;39.5;97.39412647430579;1.385;1.63;0.6473723903793883
62;6.2;22.0;198;247;81;40.5;97.62467464552667;1.395;1.64;0.6334507830698388
63;6.3;22.2;197;246;82;41.0;97.85021103811607;1.395;1.64;0.6195291757602894
64;6.4;22.2;193;241;82;41.0;98.07073565207408;1.375;1.615;0.6056075684507399
65;6.5;22.2;192;240;84;42.0;98.28624848740061;1.38;1.62;0.5916859611411905
66;6.6;22.1;186;232;86;43.0;98.49674954409574;1.36;1.59;0.5777643538316412
67;6.7;22.0;188;234;85;42.5;98.70223882215939;1.365;1.595;0.5638427465220917
68;6.8;22.0;188;235;87;43.5;98.90271632159163;1.375;1.61;0.5499211392125423
69;6.9;22.0;180;224;89;44.5;99.09818204239242;1.345;1.565;0.5359995319029928
70;7.0;22.0;178;222;90;45.0;99.28863598456178;1.34;1.56;0.5220779245934435
71;7.1;22.1;175;218;92;46.0;99.4740781480997;1.335;1.55;0.5081563172838941
72;7.2;22.1;175;218;92;46.0;99.6545085330062;1.335;1.55;0.4942347099743445
73;7.3;22.1;177;221;94;47.0;99.82992713928122;1.355;1.575;0.4803131026647951
74;7.4;22.2;176;220;93;46.5;100.00033396692484;1.345;1.565;0.4663914953552457
75;7.5;22.0;168;209;97;48.5;100.165729015937;1.325;1.53;0.4524698880456963
76;7.6;22.0;174;217;96;48.0;100.32611228631774;1.35;1.565;0.4385482807361467
77;7.7;22.1;171;213;98;49.0;100.48148377806703;1.345;1.555;0.4246266734265971
78;7.8;22.1;168;209;100;50.0;100.6318434911849;1.34;1.545;0.4107050661170477
79;7.9;22.2;162;202;101;50.5;100.7771914256713;1.315;1.515;0.3967834588074983
80;8.0;22.2;164;205;102;51.0;100.91752758152629;1.33;1.535;0.38286185149794894
81;8.1;22.0;159;198;102;51.0;101.05285195874983;1.305;1.5;0.36894024418839955
82;8.2;22.0;154;192;105;52.5;101.18316455734193;1.295;1.485;0.35501863687885016
83;8.3;22.1;160;199;104;52.0;101.3084653773026;1.32;1.515;0.34109702956930055
84;8.4;22.1;194;189;108;54.0;101.42875441863183;1.51;1.485;0.32717542225975116
85;8.5;22.0;155;193;107;53.5;101.54403168132961;1.31;1.5;0.31325381495020177
86;8.6;22.1;149;186;110;55.0;101.65429716539597;1.295;1.48;0.2993322076406524
87;8.7;22.0;153;191;109;54.5;101.75955087083089;1.31;1.5;0.285410600331103
88;8.8;22.1;144;179;111;55.5;101.85979279763436;1.275;1.45;0.2714889930215534
89;8.9;22.2;146;182;113;56.5;101.9550229458064;1.295;1.475;0.257567385712004
90;9.0;22.2;145;181;112;56.0;102.04524131534701;1.285;1.465;0.2436457784024546
91;9.1;22.0;136;170;115;57.5;102.13044790625618;1.255;1.425;0.22972417109290522
92;9.2;22.0;140;174;115;57.5;102.2106427185339;1.275;1.445;0.21580256378335583
93;9.3;22.2;133;166;118;59.0;102.28582575218019;1.255;1.42;0.20188095647380622
94;9.4;22.1;137;171;117;58.5;102.35599700719503;1.27;1.44;0.18795934916425683
95;9.5;22.2;132;164;120;60.0;102.42115648357846;1.26;1.42;0.17403774185470744
96;9.6;22.1;133;166;122;61.0;102.48130418133043;1.275;1.44;0.16011613454515805
97;9.7;22.2;128;160;123;61.5;102.53644010045096;1.255;1.415;0.14619452723560866
98;9.8;22.2;126;157;122;61.0;102.58656424094006;1.24;1.395;0.13227291992605905
99;9.9;22.2;127;158;125;62.5;102.63167660279773;1.26;1.415;0.11835131261650966
100;10.0;22.0;124;155;126;63.0;102.67177718602395;1.25;1.405;0.10442970530696027
101;10.1;22.1;119;148;126;63.0;102.70686599061874;1.225;1.37;0.09050809799741089
102;10.2;22.2;124;155;126;63.0;102.73694301658207;1.25;1.405;0.0765864906878615
103;10.3;22.1;119;148;128;64.0;102.762008263914;1.235;1.38;0.06266488337831189
