;t;Eigengeschwindigkeit(m/s);Bbox_Breite;Bbox_Höhe;Bbox_links_unten_y;Abstand(m);v(km/h);width;height;a(km/h^2)
20;2.0;16.0;88;175;115;57.5;32.85990458567484;1.015;1.45;0.49412495376124344
21;2.1;16.1;132;178;112;56.0;33.036468048654555;1.22;1.45;0.486783173903856
22;2.2;16.2;92;183;111;55.5;33.21038847088561;1.015;1.47;0.47944139404646857
23;2.3;16.1;94;188;109;54.5;33.38166585236801;1.015;1.485;0.4720996141890812
24;2.4;16.0;93;185;108;54.0;33.55030019310175;1.005;1.465;0.4647578343316937
25;2.5;16.0;97;194;106;53.0;33.71629149308683;1.015;1.5;0.45741605447430633
26;2.6;16.0;94;188;107;53.5;33.87963975232325;1.005;1.475;0.4500742746169189
27;2.7;16.0;99;198;105;52.5;34.04034497081101;1.02;1.515;0.44273249475953147
28;2.8;16.0;100;199;102;51.0;34.19840714855011;1.01;1.505;0.4353907149021441
29;2.9;16.1;98;196;103;51.5;34.353826285540556;1.005;1.495;0.4280489350447566
30;3.0;16.1;101;201;102;51.0;34.506602381782336;1.015;1.515;0.42070715518736923
31;3.1;16.2;130;205;99;49.5;34.656735437275465;1.145;1.52;0.4133653753299818
32;3.2;16.0;108;216;97;48.5;34.80422545201993;1.025;1.565;0.40602359547259437
33;3.3;16.1;148;214;97;48.5;34.94907242601573;1.225;1.555;0.398681815615207
34;3.4;16.0;111;222;94;47.0;35.09127635926288;1.025;1.58;0.3913400357578196
35;3.5;16.1;107;213;94;47.0;35.230837251761365;1.005;1.535;0.38399825590043224
36;3.6;16.1;113;225;92;46.0;35.367755103511186;1.025;1.585;0.3766564760430448
37;3.7;16.1;111;222;91;45.5;35.502029914512356;1.01;1.565;0.36931469618565743
38;3.8;16.1;143;228;88;44.0;35.63366168476486;1.155;1.58;0.36197291632827006
39;3.9;16.0;115;230;88;44.0;35.762650414268705;1.015;1.59;0.3546311364708827
40;4.0;16.2;119;238;86;43.0;35.88899610302389;1.025;1.62;0.3472893566134953
41;4.1;16.0;116;231;86;43.0;36.01269875103043;1.01;1.585;0.3399475767561079
42;4.2;16.1;117;234;84;42.0;36.1337583582883;1.005;1.59;0.33260579689872055
43;4.3;16.2;119;237;83;41.5;36.2521749247975;1.01;1.6;0.3252640170413332
44;4.4;16.2;118;236;82;41.0;36.36794845055806;1.0;1.59;0.3179222371839458
45;4.5;16.2;120;240;81;40.5;36.48107893556994;1.005;1.605;0.3105804573265585
46;4.6;16.1;126;251;79;39.5;36.591566379833175;1.025;1.65;0.3032386774691711
47;4.7;16.0;151;249;79;39.5;36.69941078334775;1.15;1.64;0.2958968976117837
48;4.8;16.2;123;246;78;39.0;36.80461214611366;1.005;1.62;0.2885551177543963
49;4.9;16.1;159;249;77;38.5;36.907170468130914;1.18;1.63;0.2812133378970089
50;5.0;16.1;125;250;75;37.5;37.00708574939951;1.0;1.625;0.2738715580396216
51;5.1;16.2;127;253;74;37.0;37.10435798991944;1.005;1.635;0.2665297781822343
52;5.2;16.1;131;261;71;35.5;37.19898718969072;1.01;1.66;0.2591879983248469
53;5.3;16.1;132;264;71;35.5;37.29097334871333;1.015;1.675;0.2518462184674596
54;5.4;16.1;135;269;70;35.0;37.38031646698729;1.025;1.695;0.2445044386100722
55;5.5;16.2;165;268;69;34.5;37.46701654451259;1.17;1.685;0.23716265875268489
56;5.6;16.1;137;273;67;33.5;37.55107358128922;1.02;1.7;0.22982087889529756
57;5.7;16.1;137;274;68;34.0;37.6324875773172;1.025;1.71;0.2224790990379102
58;5.8;16.1;136;271;65;32.5;37.71125853259652;1.005;1.68;0.21513731918052287
59;5.9;16.0;138;275;65;32.5;37.787386447127176;1.015;1.7;0.20779553932313555
60;6.0;16.2;139;277;63;31.5;37.860871320909176;1.01;1.7;0.20045375946574823
61;6.1;16.1;140;280;63;31.5;37.93171315394252;1.015;1.715;0.1931119796083609
62;6.2;16.1;139;277;62;31.0;37.99991194622719;1.005;1.695;0.18577019975097359
63;6.3;16.1;140;279;61;30.5;38.06546769776321;1.005;1.7;0.17842841989358627
64;6.4;16.2;145;290;58;29.0;38.128380408550576;1.015;1.74;0.17108664003619894
65;6.5;16.0;145;290;57;28.5;38.18865007858928;1.01;1.735;0.16374486017881162
66;6.6;16.1;143;286;58;29.0;38.24627670787932;1.005;1.72;0.15640308032142436
67;6.7;16.1;146;292;55;27.5;38.3012602964207;1.005;1.735;0.14906130046403693
68;6.8;16.2;148;295;56;28.0;38.353600844213425;1.02;1.755;0.14171952060664966
69;6.9;16.1;145;290;55;27.5;38.40329835125749;1.0;1.725;0.13437774074926234
70;7.0;16.1;150;300;54;27.0;38.4503528175529;1.02;1.77;0.12703596089187508
71;7.1;16.1;150;299;51;25.5;38.49476424309964;1.005;1.75;0.11969418103448781
72;7.2;16.2;155;310;50;25.0;38.53653262789772;1.025;1.8;0.11235240117710044
73;7.3;16.1;152;304;52;26.0;38.57565797194715;1.02;1.78;0.10501062131971317
74;7.4;16.0;156;311;49;24.5;38.61214027524792;1.025;1.8;0.0976688414623258
75;7.5;16.1;157;314;47;23.5;38.645979537800024;1.02;1.805;0.09032706160493853
76;7.6;16.2;151;302;49;24.5;38.677175759603465;1.0;1.755;0.08298528174755138
77;7.7;16.1;158;316;46;23.0;38.70572894065826;1.02;1.81;0.075643501890164
78;7.8;16.0;156;312;46;23.0;38.731639080964385;1.01;1.79;0.06830172203277673
79;7.9;16.0;159;317;44;22.0;38.75490618052186;1.015;1.805;0.06095994217538947
80;8.0;16.2;161;321;43;21.5;38.775530239330664;1.02;1.82;0.053618162318002205
81;8.1;16.1;158;315;43;21.5;38.79351125739082;1.005;1.79;0.04627638246061494
82;8.2;16.2;165;330;40;20.0;38.80884923470231;1.025;1.85;0.038934602603227675
83;8.3;16.0;161;321;41;20.5;38.82154417126514;1.01;1.81;0.03159282274584041
84;8.4;16.1;163;326;39;19.5;38.83159606707931;1.01;1.825;0.024251042888453145
85;8.5;16.1;166;331;39;19.5;38.839004922144824;1.025;1.85;0.01690926303106588
86;8.6;16.1;165;329;36;18.0;38.84377073646167;1.005;1.825;0.009567483173678615
87;8.7;16.1;167;333;35;17.5;38.84589351002987;1.01;1.84;0.0022257033162913498
88;8.8;16.0;169;338;35;17.5;38.845373242849405;1.02;1.865;-0.005116076541096026
89;8.9;16.1;207;338;32;16.0;38.842209934920284;1.195;1.85;-0.012457856398483291
90;9.0;16.2;169;338;33;16.5;38.83640358624249;1.01;1.855;-0.019799636255870445
91;9.1;16.1;204;342;32;16.0;38.82795419681605;1.18;1.87;-0.02714141611325771
92;9.2;16.2;174;347;29;14.5;38.81686176664095;1.015;1.88;-0.034483195970644864
93;9.3;16.1;171;342;29;14.5;38.803126295717185;1.0;1.855;-0.04182497582803224
94;9.4;16.1;174;348;28;14.0;38.78674778404476;1.01;1.88;-0.049166755685419394
95;9.5;16.1;179;357;26;13.0;38.767726231623676;1.025;1.915;-0.05650853554280666
96;9.6;16.1;177;354;24;12.0;38.74606163845393;1.005;1.89;-0.06385031540019381
97;9.7;16.0;177;353;24;12.0;38.72175400453553;1.005;1.885;-0.07119209525758108
98;9.8;16.1;177;353;24;12.0;38.69480332986848;1.005;1.885;-0.07853387511496834
99;9.9;16.1;181;362;22;11.0;38.66520961445275;1.015;1.92;-0.08587565497235561
100;10.0;16.2;183;366;20;10.0;38.63297285828837;1.015;1.93;-0.09321743482974276
101;10.1;16.1;183;365;18;9.0;38.59809306137534;1.005;1.915;-0.10055921468712992
102;10.2;16.1;230;374;18;9.0;38.56057022371364;1.24;1.96;-0.10790099454451718
103;10.3;16.2;185;369;17;8.5;38.52040434530328;1.01;1.93;-0.11524277440190445
